pmod_pin,fpga_pin
pmod0_1,71
pmod0_2,85
pmod0_3,75
pmod0_4,74
pmod0_7,72
pmod0_8,80
pmod0_9,76
pmod0_10,73
pmod1_1,26
pmod1_2,25
pmod1_3,27
pmod1_4,41
pmod1_7,48
pmod1_8,28
pmod1_9,16
pmod1_10,15
pmod2_1,18
pmod2_2,20
pmod2_3,31
pmod2_4,49
pmod2_7,19
pmod2_8,17
pmod2_9,30
pmod2_10,29
