signal_name,pmod_pin
ml_lane_0_p,pmod0_1
ml_lane_1_p,pmod0_2
ml_lane_2_p,pmod0_3
ml_lane_3_p,pmod0_4
aux_ch_p,pmod1_1
int_n,pmod1_2
usb_sw_amsel,pmod1_3
i2c_sda,pmod1_4
usb_sw_pol,pmod1_8
usb_sw_en,pmod1_9
i2c_scl,pmod1_10
