pmod_pin,fpga_pin
pmod0_1,F5
pmod0_2,G7
pmod0_3,H8
pmod0_4,H5
pmod0_7,G5
pmod0_8,G8
pmod0_9,H7
pmod0_10,J5
pmod1_1,A11
pmod1_2,E11
pmod1_3,K11
pmod1_4,L5
pmod1_7,A10
pmod1_8,E10
pmod1_9,L11
pmod1_10,K5
pmod2_1,G11
pmod2_2,D11
pmod2_3,B11
pmod2_4,C11
pmod2_7,G10
pmod2_8,D10
pmod2_9,B10
pmod2_10,C10
