signal_name,pmod_pin
rmii_txclk,pmod0_9
rmii_rxd[0],pmod0_8
rmii_rxd[1],pmod0_2
rmii_crs_dv,pmod0_3
rmii_txd[0],pmod0_1
rmii_txen,pmod0_7
rmii_mdio,pmod0_10
rmii_mdc,pmod0_4
